,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,isabela,90,PH,1616295319,79,6.7085,121.9711,84.2,4.61
1,isangel,98,VU,1616295321,73,-19.55,169.2667,81.14,12.41
2,narsaq,75,GL,1616295321,93,60.9167,-46.05,32.0,11.5
3,shimoda,75,JP,1616295321,100,34.6667,138.95,66.99,28.77
4,lavrentiya,100,RU,1616295322,81,65.5833,-171.0,2.46,12.77
5,mataura,100,NZ,1616295322,85,-46.1927,168.8643,57.99,11.99
6,qaanaaq,100,GL,1616295323,97,77.484,-69.3632,-7.78,2.57
7,greenfield,1,US,1616295323,45,42.9614,-88.0126,44.6,8.05
8,hobart,40,AU,1616295203,40,-42.8794,147.3294,73.99,11.5
9,butaritari,33,KI,1616295324,79,3.0707,172.7902,81.95,17.29
10,hilo,90,US,1616295189,83,19.7297,-155.09,69.8,6.91
11,port hedland,8,CD,1616295324,77,-7.0349,29.7638,71.94,5.26
12,richards bay,20,US,1616295325,53,46.8361,-95.9123,50.0,14.97
13,bonthe,2,SL,1616295325,79,7.5264,-12.505,76.3,5.08
14,labuhan,0,ID,1616295326,72,-6.8844,112.2051,85.14,8.39
15,ushuaia,75,AR,1616295326,71,-54.8,-68.3,48.2,31.07
16,san quintin,13,ML,1616295327,45,13.3034,-4.8956,82.81,9.06
17,naze,75,JP,1616295327,82,28.3667,129.4833,66.2,4.61
18,talnakh,17,RU,1616295328,68,69.4865,88.3972,-18.17,7.49
19,atuona,79,PF,1616295328,75,-9.8,-139.0333,80.06,12.08
20,bredasdorp,95,ZA,1616295329,94,-34.5322,20.0403,59.0,1.14
21,torbay,40,CA,1616295329,68,47.6666,-52.7314,23.0,17.27
22,lac du bonnet,75,AL,1616295329,93,41.6356,19.7131,42.8,9.75
23,rikitea,88,PF,1616295330,73,-23.1203,-134.9692,79.97,4.47
24,sitka,90,US,1616295331,70,57.0531,-135.33,37.4,21.85
25,marienburg,100,PL,1616295331,100,54.0359,19.0266,33.01,18.21
26,imbituba,40,BR,1616295332,89,-28.24,-48.6703,78.8,10.36
27,morgan city,1,US,1616295332,65,39.7167,-90.2168,46.99,8.39
28,cape town,89,CL,1616295333,67,-36.413,-71.9028,59.0,4.61
29,chokurdakh,4,RU,1616295333,92,70.6333,147.9167,-8.41,4.74
30,kewanee,0,US,1616295333,67,41.2456,-89.9248,46.99,1.01
31,jamestown,1,US,1616295183,26,42.097,-79.2353,42.8,3.15
32,albany,20,US,1616295133,36,42.6001,-73.9662,44.6,8.05
33,airai,92,TL,1616295334,57,-8.9266,125.4092,75.79,4.76
34,gisborne,64,NZ,1616295334,78,-38.6533,178.0042,63.0,11.99
35,coquimbo,0,CL,1616295103,77,-29.9533,-71.3436,60.8,8.05
36,saint-philippe,0,RE,1616295335,78,-21.3585,55.7679,77.0,4.61
37,olinda,40,BR,1616295336,73,-8.0089,-34.8553,77.0,5.75
38,kjopsvik,90,NO,1616295336,93,68.097,16.3742,28.99,9.22
39,punta arenas,61,PH,1616295337,61,8.9897,125.34,89.15,4.18
40,upernavik,100,GL,1616295337,99,72.7868,-56.1549,-8.32,11.54
41,severnoye,100,RU,1616295338,89,56.3491,78.3619,30.25,20.47
42,nueva gerona,40,EC,1616295338,65,-1.7167,-79.8333,82.4,9.22
43,carnarvon,0,AU,1616295339,25,-24.8667,113.6333,89.6,5.75
44,nioro,89,GM,1616295339,43,13.35,-15.75,67.05,6.87
45,lumphat,100,KH,1616295340,55,13.4878,106.9816,88.29,2.33
46,rajur,80,IN,1616295340,34,20.1167,78.9167,82.89,1.05
47,araouane,19,ML,1616295340,16,18.9048,-3.5265,73.04,6.8
48,mitsamiouli,6,KM,1616295341,71,-11.3847,43.2844,82.99,5.26
49,provideniya,100,RU,1616295341,75,64.3833,-173.3,7.7,10.29
50,brodowski,0,BR,1616295342,83,-20.9845,-47.6572,73.4,5.75
51,grand centre,90,US,1616295342,35,38.8755,-109.5012,54.0,20.71
52,arraial do cabo,0,BR,1616295343,88,-22.8362,-46.646,73.4,11.5
53,tocopilla,4,CL,1616295344,80,-22.092,-70.1979,67.51,7.83
54,norman wells,1,US,1616295345,41,35.2226,-97.4395,55.4,13.8
55,port alfred,8,CD,1616295345,77,-7.0349,29.7638,71.94,5.26
56,djambala,100,CG,1616295345,91,-2.5447,14.7533,65.71,1.3
57,ribeira grande,0,ES,1616295346,60,42.7461,-8.4439,39.2,6.91
58,san carlos de bariloche,13,ML,1616295218,45,13.3034,-4.8956,82.81,9.06
59,cherskiy,0,RU,1616295347,80,68.75,161.3,-6.11,4.29
60,saskylakh,53,RU,1616295347,94,71.9167,114.0833,-30.78,8.41
61,mahebourg,40,MU,1616295347,89,-20.4081,57.7,78.8,10.36
62,kokopo,99,PG,1616295348,74,-4.352,152.2633,84.0,5.7
63,yellowknife,90,CA,1616295218,66,62.456,-114.3525,5.0,17.27
64,castro,10,BR,1616295348,96,-24.7911,-50.0119,64.18,3.31
65,port antonio,8,CD,1616295349,77,-7.0349,29.7638,71.94,5.26
66,filimonovo,100,RU,1616295349,72,56.2011,95.4611,32.25,13.94
67,tambopata,94,PE,1616295350,98,-12.7333,-69.1833,71.2,1.7
68,kahului,40,US,1616295317,83,20.8947,-156.47,73.4,17.27
69,lebyazhye,55,RU,1616295350,95,55.2689,66.4947,18.63,8.95
70,bambous virieux,40,MU,1616295351,89,-20.2567,57.4061,80.01,10.36
71,hermanus,86,ZA,1616295351,91,-34.4187,19.2345,59.0,11.59
72,ponta do sol,100,PT,1616295351,77,38.7333,-28.2667,53.74,16.42
73,deputatskiy,66,RU,1616295352,95,69.3,139.9,-10.73,3.71
74,sorland,100,NO,1616295353,69,67.667,12.6934,32.0,31.21
75,oranjemund,3,NA,1616295319,87,-28.55,16.4333,60.3,14.2
76,central point,90,US,1616295355,58,30.5544,-91.0368,57.2,4.61
77,khatanga,51,RU,1616295355,94,71.9667,102.5,-28.93,8.34
78,tuktoyaktuk,75,CA,1616295356,76,69.4541,-133.0374,-16.6,5.75
79,georgetown,20,MY,1616295356,66,5.4112,100.3354,87.8,3.44
80,aljezur,0,PT,1616295358,55,37.3191,-8.8033,46.38,7.43
81,mar del plata,75,ES,1616295358,71,43.4002,-4.0094,46.99,6.91
82,mount gambier,86,GB,1616295359,88,53.6597,-1.8537,44.01,4.32
83,horqueta,86,PY,1616295359,91,-23.3428,-57.0597,74.12,4.38
84,noumea,0,NC,1616295083,58,-22.2763,166.4572,84.2,21.85
85,vaini,75,TO,1616295360,79,-21.2,-175.2,84.2,6.91
86,zhangjiakou,0,CN,1616295361,21,40.81,114.8794,35.69,20.18
87,koslan,80,RU,1616295361,96,63.4564,48.8989,4.5,5.91
88,hithadhoo,95,MV,1616295362,74,-0.6,73.0833,82.96,9.93
89,dikson,18,RU,1616295362,77,73.5069,80.5464,-20.38,15.57
90,poya,44,NC,1616295362,63,-21.35,165.15,82.65,11.03
91,chalus,40,IR,1616295363,93,36.655,51.4204,51.8,6.91
92,tilichiki,42,RU,1616295364,81,60.4667,166.1,-0.65,5.99
93,savonlinna,90,FI,1616295364,93,61.8699,28.88,33.8,10.36
94,karratha,0,AU,1616295364,41,-20.7377,116.8463,85.14,17.56
95,bluff,100,NZ,1616295365,85,-46.6,168.3333,57.99,11.99
96,cap malheureux,90,FR,1616295365,93,49.2718,-1.2104,48.0,5.75
97,goundam,53,ML,1616295366,13,16.4145,-3.6708,77.2,8.95
98,tuatapere,89,NZ,1616295366,85,-46.1333,167.6833,57.99,11.99
99,avarua,25,CK,1616295367,74,-21.2078,-159.775,84.2,9.22
100,xapuri,100,BR,1616295367,98,-10.6517,-68.5044,73.2,3.09
101,bastrop,1,US,1616295368,87,32.7562,-91.8724,48.99,4.29
102,codrington,100,AU,1616295368,82,-38.2667,141.9667,65.98,8.63
103,aranos,18,NA,1616295370,83,-24.1333,19.1167,65.57,11.01
104,copiapo,0,CL,1616295101,77,-27.3667,-70.3333,59.0,9.22
105,port elizabeth,8,CD,1616295324,77,-7.0349,29.7638,71.94,5.26
106,barrow,1,US,1616295092,71,71.2906,-156.7887,-4.0,10.36
107,paracuru,12,BR,1616295372,74,-3.41,-39.0306,82.0,14.0
108,miri,40,MY,1616295372,74,4.4148,114.0089,87.8,5.75
109,lokosovo,100,RU,1616295372,95,61.1333,74.8167,30.47,11.45
110,havelock,90,US,1616295373,81,34.8791,-76.9013,46.99,16.11
111,grand river south east,90,US,1616295373,35,38.8755,-109.5012,54.0,20.71
112,clyde river,0,US,1616295374,69,41.3042,-82.9752,34.0,6.73
113,alofi,100,NU,1616295374,83,-19.0595,-169.9187,77.0,8.05
114,biak,91,ID,1616295375,66,-0.9131,122.8766,85.01,2.21
115,manta,20,EC,1616295375,83,-0.95,-80.7333,78.8,2.3
116,pevek,6,RU,1616295375,92,69.7008,170.3133,-18.98,1.66
117,ayan,9,RU,1616295376,79,56.45,138.1667,19.35,4.76
118,karlovac,100,HR,1616295377,55,45.4872,15.5478,30.99,1.99
119,sulangan,28,PH,1616295377,74,11.1373,123.7228,84.04,10.0
120,cap-chat,79,CA,1616295378,75,49.1001,-66.6821,33.8,10.36
121,ewa beach,100,ID,1616295378,75,-8.6235,122.5073,80.33,5.93
122,geraldton,0,AU,1616295378,12,-28.7667,114.6,98.6,14.97
123,coari,100,BR,1616295187,98,-4.085,-63.1414,71.28,4.18
124,brae,90,GB,1616295379,75,60.3964,-1.353,41.0,1.14
125,comodoro rivadavia,92,BR,1616295135,98,-13.6631,-59.7858,68.04,4.12
126,bengkulu,77,ID,1616295380,61,-3.8004,102.2655,86.05,1.66
127,puerto ayora,0,ES,1616295123,70,36.5939,-6.233,46.0,8.05
128,kiruna,90,SE,1616295380,80,67.8557,20.2251,24.8,19.57
129,nikolskoye,90,RU,1616295381,93,59.7035,30.7861,28.99,8.95
130,cockburn town,100,AU,1616295381,56,-32.0833,141.0,73.4,9.22
131,pavino,85,RU,1616295382,98,59.1139,46.1414,4.6,5.86
132,faanui,0,PF,1616295382,68,-16.4833,-151.75,83.01,5.55
133,kovvur,0,IN,1616295383,78,17.0167,81.7333,78.8,3.44
134,north bend,90,FR,1616295384,93,50.3333,3.6667,42.01,3.44
135,mirabad,7,AF,1616295384,55,30.4362,61.8383,59.27,14.83
136,severnyy,0,RU,1616295385,93,50.677,36.5532,26.6,6.71
137,wagar,0,SD,1616295385,60,16.1525,36.2032,69.98,13.4
138,znamenskoye,97,RU,1616295386,89,57.1281,73.8282,29.12,13.89
139,skelleftea,90,SE,1616295386,75,64.7507,20.9528,36.0,20.71
140,kapaa,20,US,1616295387,69,22.0752,-159.319,75.2,23.02
141,xian,0,CN,1616295387,37,34.2583,108.9286,52.0,6.71
142,lorengau,93,PG,1616295388,68,-2.0226,147.2712,86.04,6.24
143,gloversville,1,US,1616295205,41,43.0528,-74.3438,39.2,3.85
144,arman,91,RU,1616295388,81,59.7,150.1667,11.37,5.06
145,rio grande,75,GR,1616295389,82,38.3,21.7833,55.4,9.22
146,abyek,0,IR,1616295389,39,36.0667,50.55,44.6,4.61
147,san cristobal,13,ML,1616295390,45,13.3034,-4.8956,82.81,9.06
148,panalingaan,63,PH,1616295390,65,8.7842,117.4231,87.44,4.59
149,verkhoyansk,38,RU,1616295390,80,67.5447,133.385,6.64,3.62
150,seoul,75,KR,1616295285,61,37.5683,126.9778,48.2,16.11
151,orlik,100,RU,1616295391,66,52.5178,99.825,20.84,4.18
152,zigong,100,CN,1616295391,65,29.3416,104.7769,51.85,8.28
153,collierville,13,US,1616295392,99,35.042,-89.6645,55.99,4.97
